z_lo,z_hi,wave_rest,flux_norm,err_norm,n_contrib
2.0,2.4,1280.0,0.870614,0.046367,5000
2.0,2.4,1281.0,0.855825,0.038272,5000
2.0,2.4,1282.0,0.881083,0.041828,5000
2.0,2.4,1283.0,0.914129,0.04051,5000
2.0,2.4,1284.0,0.795383,0.039412,5000
2.0,2.4,1285.0,0.835753,0.035537,5000
2.0,2.4,1286.0,0.854758,0.04284,5000
2.0,2.4,1287.0,0.867739,0.039428,5000
2.0,2.4,1288.0,0.916381,0.04143,5000
2.0,2.4,1289.0,0.838455,0.035133,5000
2.0,2.4,1290.0,0.819162,0.046942,5000
2.0,2.4,1291.0,0.863662,0.039022,5000
2.0,2.4,1292.0,0.932526,0.041244,5000
2.0,2.4,1293.0,0.814142,0.042874,5000
2.0,2.4,1294.0,0.788078,0.040848,5000
2.0,2.4,1295.0,0.777488,0.037693,5000
2.0,2.4,1296.0,0.812959,0.037086,5000
2.0,2.4,1297.0,0.761438,0.038486,5000
2.0,2.4,1298.0,0.830162,0.035952,5000
2.0,2.4,1299.0,0.764635,0.039884,5000
2.0,2.4,1300.0,0.658671,0.037525,5000
2.0,2.4,1301.0,0.636102,0.034983,5000
2.0,2.4,1302.0,0.752601,0.041831,5000
2.0,2.4,1303.0,0.868002,0.045539,5000
2.0,2.4,1304.0,0.840059,0.045289,5000
2.0,2.4,1305.0,0.902328,0.043792,5000
2.0,2.4,1306.0,0.842807,0.047015,5000
2.0,2.4,1307.0,0.850336,0.037385,5000
2.0,2.4,1308.0,0.952707,0.034338,5000
2.0,2.4,1309.0,0.917021,0.044979,5000
2.0,2.4,1310.0,0.834052,0.043806,5000
2.0,2.4,1311.0,0.833457,0.036908,5000
2.0,2.4,1312.0,0.822228,0.040205,5000
2.0,2.4,1313.0,0.887601,0.038409,5000
2.0,2.4,1314.0,0.838392,0.036012,5000
2.0,2.4,1315.0,0.83308,0.046094,5000
2.0,2.4,1316.0,0.919516,0.037036,5000
2.0,2.4,1317.0,0.786912,0.035405,5000
2.0,2.4,1318.0,0.802277,0.042596,5000
2.0,2.4,1319.0,0.829012,0.035187,5000
2.0,2.4,1320.0,0.845425,0.032328,5000
2.0,2.4,1321.0,0.784951,0.032073,5000
2.0,2.4,1322.0,0.7533,0.033809,5000
2.0,2.4,1323.0,0.891286,0.04185,5000
2.0,2.4,1324.0,0.79957,0.034132,5000
2.0,2.4,1325.0,0.780954,0.038474,5000
2.0,2.4,1326.0,0.783587,0.037464,5000
2.0,2.4,1327.0,0.724816,0.033453,5000
2.0,2.4,1328.0,0.792482,0.041268,5000
2.0,2.4,1329.0,0.721752,0.038443,5000
2.0,2.4,1330.0,0.787438,0.041207,5000
2.0,2.4,1331.0,0.729239,0.04588,5000
2.0,2.4,1332.0,0.652693,0.040515,5000
2.0,2.4,1333.0,0.632011,0.037399,5000
2.0,2.4,1334.0,0.835544,0.041145,5000
2.0,2.4,1335.0,0.903431,0.043563,5000
2.0,2.4,1336.0,0.762331,0.040735,5000
2.0,2.4,1337.0,0.755502,0.040653,5000
2.0,2.4,1338.0,0.812636,0.040602,5000
2.0,2.4,1339.0,0.757096,0.035657,5000
2.0,2.4,1340.0,0.83164,0.040928,5000
2.0,2.4,1341.0,0.763136,0.03461,5000
2.0,2.4,1342.0,0.75242,0.033535,5000
2.0,2.4,1343.0,0.721289,0.038053,5000
2.0,2.4,1344.0,0.78086,0.040945,5000
2.0,2.4,1345.0,0.784396,0.043222,5000
2.0,2.4,1346.0,0.850558,0.039886,5000
2.0,2.4,1347.0,0.852519,0.037216,5000
2.0,2.4,1348.0,0.823907,0.035606,5000
2.0,2.4,1349.0,0.794416,0.039982,5000
2.0,2.4,1350.0,0.808006,0.038622,5000
2.0,2.4,1351.0,0.799476,0.037074,5000
2.0,2.4,1352.0,0.760735,0.0407,5000
2.0,2.4,1353.0,0.716954,0.036663,5000
2.0,2.4,1354.0,0.752893,0.035869,5000
2.0,2.4,1355.0,0.735031,0.031303,5000
2.0,2.4,1356.0,0.697299,0.03557,5000
2.0,2.4,1357.0,0.738756,0.032984,5000
2.0,2.4,1358.0,0.706152,0.031925,5000
2.0,2.4,1359.0,0.684492,0.03906,5000
2.0,2.4,1360.0,0.741277,0.032645,5000
2.0,2.4,1361.0,0.738257,0.039352,5000
2.0,2.4,1362.0,0.78211,0.033988,5000
2.0,2.4,1363.0,0.778737,0.036064,5000
2.0,2.4,1364.0,0.716155,0.032956,5000
2.0,2.4,1365.0,0.729433,0.033828,5000
2.0,2.4,1366.0,0.744869,0.033197,5000
2.0,2.4,1367.0,0.6532,0.034198,5000
2.0,2.4,1368.0,0.721191,0.035771,5000
2.0,2.4,1369.0,0.774842,0.036376,5000
2.0,2.4,1370.0,0.781002,0.036205,5000
2.0,2.4,1371.0,0.731394,0.044262,5000
2.0,2.4,1372.0,0.739356,0.032868,5000
