z_lo,z_hi,logL_lo,logL_hi,logL_med,z_med,wave_rest,flux_norm,err_norm,n_contrib
2.0,2.4,42.0,42.5,42.466,2.2317,1178.0,0.539069,0.217158,445
2.0,2.4,42.0,42.5,42.466,2.2317,1179.0,0.677922,0.252981,445
2.0,2.4,42.0,42.5,42.466,2.2317,1180.0,0.491987,0.229983,445
2.0,2.4,42.0,42.5,42.466,2.2317,1181.0,0.967811,0.261681,445
2.0,2.4,42.0,42.5,42.466,2.2317,1182.0,0.578915,0.248485,445
2.0,2.4,42.0,42.5,42.466,2.2317,1183.0,0.299038,0.19779,445
2.0,2.4,42.0,42.5,42.466,2.2317,1184.0,0.500383,0.229251,445
2.0,2.4,42.0,42.5,42.466,2.2317,1185.0,0.647975,0.197937,445
2.0,2.4,42.0,42.5,42.466,2.2317,1186.0,0.479939,0.237594,445
2.0,2.4,42.0,42.5,42.466,2.2317,1187.0,0.206193,0.199319,445
2.0,2.4,42.0,42.5,42.466,2.2317,1188.0,0.346936,0.213487,445
2.0,2.4,42.0,42.5,42.466,2.2317,1189.0,0.568949,0.188555,445
2.0,2.4,42.0,42.5,42.466,2.2317,1190.0,0.355352,0.191239,445
2.0,2.4,42.0,42.5,42.466,2.2317,1191.0,0.328176,0.204341,445
2.0,2.4,42.0,42.5,42.466,2.2317,1192.0,0.555564,0.18292,445
2.0,2.4,42.0,42.5,42.466,2.2317,1193.0,0.780754,0.228471,445
2.0,2.4,42.0,42.5,42.466,2.2317,1194.0,1.038902,0.195497,445
2.0,2.4,42.0,42.5,42.466,2.2317,1195.0,0.373103,0.197041,445
2.0,2.4,42.0,42.5,42.466,2.2317,1196.0,0.528942,0.219952,445
2.0,2.4,42.0,42.5,42.466,2.2317,1197.0,0.355682,0.218802,445
2.0,2.4,42.0,42.5,42.466,2.2317,1198.0,0.500231,0.226286,445
2.0,2.4,42.0,42.5,42.466,2.2317,1199.0,0.578948,0.230103,445
2.0,2.4,42.0,42.5,42.466,2.2317,1200.0,0.251279,0.206764,445
2.0,2.4,42.0,42.5,42.466,2.2317,1201.0,-0.156341,0.199223,445
2.0,2.4,42.0,42.5,42.466,2.2317,1202.0,0.162709,0.213699,445
2.0,2.4,42.0,42.5,42.466,2.2317,1203.0,0.078104,0.200707,445
2.0,2.4,42.0,42.5,42.466,2.2317,1204.0,-0.116646,0.176623,445
2.0,2.4,42.0,42.5,42.466,2.2317,1205.0,-0.095941,0.211122,445
2.0,2.4,42.0,42.5,42.466,2.2317,1206.0,0.004471,0.168087,445
2.0,2.4,42.0,42.5,42.466,2.2317,1207.0,-0.048355,0.186244,445
2.0,2.4,42.0,42.5,42.466,2.2317,1208.0,0.212026,0.186262,445
2.0,2.4,42.0,42.5,42.466,2.2317,1209.0,-0.067537,0.186845,445
2.0,2.4,42.0,42.5,42.466,2.2317,1210.0,0.071376,0.187475,445
2.0,2.4,42.0,42.5,42.466,2.2317,1211.0,0.066804,0.175674,445
2.0,2.4,42.0,42.5,42.466,2.2317,1212.0,0.272281,0.206097,445
2.0,2.4,42.0,42.5,42.466,2.2317,1213.0,0.31434,0.197812,445
2.0,2.4,42.0,42.5,42.466,2.2317,1214.0,2.641893,0.336319,445
2.0,2.4,42.0,42.5,42.466,2.2317,1215.0,19.389723,1.186891,445
2.0,2.4,42.0,42.5,42.466,2.2317,1216.0,13.866081,0.981147,445
2.0,2.4,42.0,42.5,42.466,2.2317,1217.0,0.748678,0.162106,445
2.0,2.4,42.0,42.5,42.466,2.2317,1218.0,-0.064053,0.204354,445
2.0,2.4,42.0,42.5,42.466,2.2317,1219.0,0.224674,0.179218,445
2.0,2.4,42.0,42.5,42.466,2.2317,1220.0,0.002172,0.170136,445
2.0,2.4,42.0,42.5,42.466,2.2317,1221.0,-0.103286,0.173204,445
2.0,2.4,42.0,42.5,42.466,2.2317,1222.0,-0.124028,0.198171,445
2.0,2.4,42.0,42.5,42.466,2.2317,1223.0,0.265876,0.172626,445
2.0,2.4,42.0,42.5,42.466,2.2317,1224.0,0.114261,0.169881,445
2.0,2.4,42.0,42.5,42.466,2.2317,1225.0,0.259778,0.182633,445
2.0,2.4,42.0,42.5,42.466,2.2317,1226.0,-0.020836,0.18354,445
2.0,2.4,42.0,42.5,42.466,2.2317,1227.0,0.073755,0.170777,445
2.0,2.4,42.0,42.5,42.466,2.2317,1228.0,-0.020177,0.179258,445
2.0,2.4,42.0,42.5,42.466,2.2317,1229.0,-0.203859,0.179016,445
2.0,2.4,42.0,42.5,42.466,2.2317,1230.0,-0.103594,0.160025,445
2.0,2.4,42.0,42.5,42.466,2.2317,1231.0,0.496377,0.172473,445
2.0,2.4,42.0,42.5,42.466,2.2317,1232.0,0.320529,0.166273,445
2.0,2.4,42.0,42.5,42.466,2.2317,1233.0,0.574045,0.156809,445
2.0,2.4,42.0,42.5,42.466,2.2317,1234.0,0.608153,0.179703,445
2.0,2.4,42.0,42.5,42.466,2.2317,1235.0,0.50703,0.154707,445
2.0,2.4,42.0,42.5,42.466,2.2317,1236.0,0.425743,0.16956,445
2.0,2.4,42.0,42.5,42.466,2.2317,1237.0,0.506747,0.198149,445
2.0,2.4,42.0,42.5,42.466,2.2317,1238.0,0.237358,0.156897,445
2.0,2.4,42.0,42.5,42.466,2.2317,1239.0,0.761037,0.169986,445
2.0,2.4,42.0,42.5,42.466,2.2317,1240.0,0.635624,0.196415,445
