Star,Gaia_DR3_ID
TYC 3983-190-1,2002203222427938816
TYC 3983-1672-1,2001815610221558272
TYC 3983-1691-1,2003050877171665280
TYC 3983-443-1,2003010813715588736
TYC 3983-2784-1,2003135161612008576
V* V348 Lac,2001735929985492736
BD+52  3214,2001519016958902400
BD+51  3387,2001506991050385152
HD 213388,2001441810624543616
BD+51  3391,2000679471112516736
TYC 3619-72-1,2001430574989956224
TYC 3619-1662-1,2000679711628506880
TYC 3619-716-1,2000679745988248448
LF  4 +51  348,2000675451020996096
TYC 3632-302-1,2000680227024652544
TYC 3632-415-1,2000680811140399104
TYC 3632-887-1,2000668922670740864
TYC 3632-168-1,2000668716512318208
GSC 03982-02313,2001689509978014976
TYC 3983-749-1,2001730913463676032
TYC 3983-2037-1,2001519085669061888
GSC 03983-02449,2001507231568759680
TYC 3619-540-1,2001442188586017664
TYC 3619-396-1,2001438099772811520
TYC 3982-4067-1,2004714884944868992
TYC 3982-1367-1,2004712892080300544
TYC 3982-2898-1,2004811745045511040
TYC 3632-471-1,2000664902581621632
TYC 3983-2295-1,2001529256162721024
TYC 3983-277-1,2001456241714787200
TYC 3982-1865-1,2001781491000274816
GSC 03983-01656,2001816297416300928
BD+53  2947,2003125300363455104
HD 214878,2003121005396125184
V* OV Lac,2003208176053943040
TYC 3984-997-1,2003197490177218816
GSC 03984-00793,2003144163859867520
TYC 3983-2732-1,2003195394231295616
GSC 03983-02918,2003189931032945664
TYC 3987-2870-1,2003219480408064512
BD+53  2954,2003132344109912832
TYC 3988-1310-1,2003554006818945280
HD 218416,1995432601615870208
HD 217833,2008712606139262592
HD 221968,1994313573650555648
HD     71,420857939764039424
HD   1778,419491796568775552
HD   3345,418171729781070208
HD   4321,417670730434568192
HD   3240,418030923572427520
HD   2952,418206501834841600
HD   2901,418062809410500224
HD   6540,411043149213560832
*  65 And,451517958939484928
*  64 And,355431809584909696
HD  13867,355610136626791552
IRAS 02235+4717,354194167512497024
ATO J038.2245+48.3382,354301305472712832
HD  17656,437104838965567360
V* V730 Per,434359560293255296
V* V729 Per,436994338047995264
IRAS F02411+4606,437158955553490304
V* V672 Per,433945117425239424
IRAS 02522+4534,433943468157843712
TYC 2869-893-1,238078253494573696
HD 227900,2074571325440792192
HD 192421,2062583934258062592
HD 228473,2062531565710753536
LS III +41   20,2068498409154126720
Cl* NGC 6910    SIC      33,2068341733044892032
IRAS 20161+4035,2062359393365398912
EM* VES  256,2069321019952540032
HD 195100,2069006216027750528
HD 195986,2069758591214965504
IRAS 20210+4333A,2069238556580972032
IRAS 20235+4331,2069267624918730752
IRAS 20259+4353,2069120668317060736
BD+42  3736,2068966083854044288
BD+45  3230,2071255988620715008
HD 197167,2070461724604113536
BD+45  3239,2070472002474576128
BD+44  3554,2070211590012481280
BD+44  3570,2070148814768563840
BD+44  3502,2070690358606574464
HD 198345,2166775786416401536
BD+46  3097,2163794323200548224
HD 199394,2163773535558219136
BD+45  3264,2166322852031398016
HD 198237,2166263517070145664
HD 198479,2166272931639185024
HD 198414,2166247917749112832
BD+44  3596,2163263293430342400
BD+44  3574,2166302858972402560
IRAS 20395+4557,2070514952149215488
BD+48  3248,2167072585834542336
BD+47  3222,2166863575548647808
HD 199998,2163963441828145152
BD+46  3129,2163921621718815360
HD 200406,2163902315851963264
BD+47  3265,2165460598706758016
HD 198794,2167129829154964352
HD 198858,2167087188718952576
HD 199439,2166856939805814272
HD 199761,2163833287145153536
HD 200089,2163845106886323072
HD 203136,2171932117992309376
HD 203416,2165085321641897472
HD 203644,2171040585855284480
V* V1720 Cyg,2165582988100484352
HD 206259,2173276717631168000
* pi.01 Cyg,1980828991263480448
V* V1617 Cyg,2173057949178596864
HD 205551,2171742005553592960
HD 205966,2171470799830215040
HD 207561,2173914571812599680
HD 208524,2173769814236554496
HD 209419,1981220898439832448
IRAS 21482+5309,2173623304315490944
HD 207793,1981019893969624064
TYC 3967-3312-1,2173460988910409600
[OSP2000] src 1022,2173264623009387648
BD+52  3131,2004546453507581568
HD 211149,2004540268755431168
HD 235797,2004749931879184512
IRAS 22180+5324,2004751856024748032
TYC 3969-3663-1,2004543498575841280
TYC 3969-3270-1,2004545491435176960
TYC 3982-632-1,2004771819033282432
BD+54  2701,2005500520371398400
HD 210922,2005696954991462656
HD 239885,2006097898772390528
HD 211070,2006092538638357504
BD+54  2714,2006082093292920704
BD+54  2718,2006083605125285760
HD 235775,2005874045083654272
BD+53  2784,2005574977916673792
BD+53  2799,2005453241369713280
HD 235745,2005496672080379648
BD+53  2805,2005427059247183872
BD+53  2806,2005474681849514752
HD 235750,2005428330557753600
HD 235758,2005434652749875968
HD 235767,2005795326919414272
HD 235773,2005794158688605696
BD+53  2843,2004980279564258944
V* AB Cep,2005713688183882496
EM* AS  484,2197908561232273920
HD 210495,2005442761649590272
BD+53  2801,2005396341640301568
HD 235760,2004649017330537088
BD+53  2833,2005022061007801856
HD 235778,2005017078845789824
BD+53  2836,2005020789697757440
BD+52  3125,2004616890976606976
BD+52  3133,2004616100699942144
BD+52  3148,2004558032740231552
BD+52  3174,2004761030074611712
V* WZ Lac,2004660081166895232
IRAS 22014+5452,2197818190809849216
IRAS 22094+5422,2005492342753418112
V* V341 Lac,2004607270247702272
V* V434 Lac,2005483546662162816
LF  4 +54  184,2005417679039242624
IRAS 22130+5413,2005795223840211712
IRAS 22144+5319,2004571707917042176
IRAS 22157+5326,2004947225495269376
TYC 3969-2649-1,2005439634913161344
TYC 3969-407-1,2005389847649505152
TYC 3969-3204-1,2004519584197311104
TYC 3969-2213-1,2005447945649931008
TYC 3969-3213-1,2004613180121843200
TYC 3969-2693-1,2004616925336344704
GSC 03969-01077,2005370571836160512
TYC 3969-1791-1,2004613351920667008
TYC 3969-3007-1,2004617440729492480
TYC 3969-2447-1,2004612458567490176
TYC 3969-2869-1,2004612664728805248
TYC 3969-332-1,2005379196130980352
GSC 03969-00326,2005397200640584704
GSC 03969-03728,2004549477147336704
TYC 3969-1941-1,2004607923082283136
TYC 3969-755-1,2005404897215916544
LF  4 +53  176,2005410669657442560
TYC 3982-3649-1,2004554768564936576
TYC 3982-119-1,2004582290716116992
TYC 3982-77-1,2004632421577031168
TYC 3982-527-1,2004580744527928832
GSC 03982-01308,2005022915686818048
TYC 3982-2344-1,2004968631618099456
TYC 3982-1440-1,2004970006001848960
TYC 3982-3116-1,2004963889968294144
TYC 3982-3194-1,2004974129170705152
TYC 3982-2834-1,2004950283512175488
TYC 3982-2294-1,2004790648170035840
TYC 3973-345-1,2005470661757493888
TYC 3973-788-1,2005469046849815296
TYC 3973-1210-1,2005480969681612288
TYC 3973-450-1,2005498802384419584
LF  4 +54   80,2005426956173275136
TYC 3973-1848-1,2005477464986539008
TYC 3973-782-1,2005500451651928960
GSC 03973-02727,2005503097352022016
TYC 3973-1102-1,2005431422939478784
TYC 3973-1498-1,2005438123088523392
TYC 3986-2403-1,2005862259692672896
TYC 3986-3373-1,2005866073623600384
TYC 3982-1296-1,2005414517943340416
TYC 3982-867-1,2005415892333134208
TYC 3986-2089-1,2005870952706986112
TYC 3986-2346-1,2005888235655522816
TYC 3986-3165-1,2005810994966115584
TYC 3986-2897-1,2005801099355989632
TYC 3986-1157-1,2005873942004642176
TYC 3986-3066-1,2005830442557764992
TYC 3986-186-1,2005032334572510208
TYC 3986-2915-1,2005075078085655296
GSC 03982-00144,2004981241636907008
TYC 3986-666-1,2005052366298557312
TYC 3986-264-1,2005005499612696064
TYC 3973-2380-1,2006080066068058752
TYC 3986-1255-1,2006098998284319104
TYC 3969-542-1,2005408951665190784
GSC 03982-00782,2004579370138410752
TYC 3973-628-1,2005472001787309056
BD+54  2710,2005884834040861952
TYC 3973-804-1,2005474647488019712
V* MP Cep,2005310957690051200
V* V1484 Cyg,2005605798605672704
BD+54  2691,2005681458752552192
TYC 3973-2420-1,2197907599159158784
TYC 3973-558-1,2005673006251954688
TYC 3973-1257-1,2197913298563956480
TYC 3973-2145-1,2005731074212736896
TYC 3973-2754-1,2005681871064654208
GSC 03973-02414,2005749624152817408
TYC 3973-1066-1,2005652321689619840
TYC 3973-1990-1,2005773302331812992
TYC 3973-1698-1,2005653146323325824
TYC 3973-2625-1,2005780827114646272
[BBB73]  67,2005708667344692736
TYC 3973-2217-1,2005770072516825344
TYC 3973-2451-1,2005709457618674432
TYC 3973-1803-1,2005765640110638080
TYC 3973-1849-1,2005705781126672128
TYC 3973-685-1,2005769488402965888
TYC 3973-1343-1,2005716814920041600
TYC 3973-2279-1,2005711931527852288
TYC 3973-825-1,2006094458493908736
TYC 3973-1715-1,2006096318224187392
GSC 03973-00821,2006104392763165696
TYC 3973-791-1,2006161670451331584
TYC 3973-2742-1,2005723068382547712
GSC 03973-00857,2197947044140026368
TYC 3973-749-1,2005768595048493952
TYC 3973-158-1,2006143700305731584
GSC 03973-02412,2006144245754799104
BD+53  2881,2004820919096066304
BD+53  2895,2001846156029349888
BD+53  2907,2003335478885679488
TYC 3982-2914-1,2004826451013485568
TYC 3982-1182-1,2004832601407060864
TYC 3982-1671-1,2004821400132383104
TYC 3983-1178-1,2001844919078977152
TYC 3983-838-1,2003349841258772736
TYC 3983-622-1,2003348466866909184
TYC 3987-2165-1,2003318814411766784
GSC 03983-00089,2004822774526210048
TYC 3987-2399-1,2003316958989527040
BD+53  2926,2003324449409086720
HD 212986,2007510839934268416
V* V743 Cep,2006119407972993792
HD 211982,2006226266754210432
BD+55  2733,2005965407627832704
BD+55  2744,2005993582610128000
BD+55  2754,2006735168841244928
BD+54  2733,2005924966217461504
BD+54  2738,2006004062333624320
HD 235809,2005933762286431616
HD 235813,2005112564556994688
BD+54  2752,2005184307693405440
BD+54  2757,2005186369277905280
BD+54  2761,2005973207284955392
BD+54  2762,2005113973306578304
BD+54  2776,2005125346381014784
BD+54  2783,2006657893787376384
HD 235857,2006425518878086016
BD+54  2792,2006431394393623936
BD+53  2878,2004929324073344384
BD+53  2891,2004922074169009408
BD+53  2919,2003384441513883776
BD+53  2885,2004847032501973248
IRAS 22187+5527,2006005058763688960
IRAS 22206+5455,2005184273333651072
IRAS 22240+5548,2007485276288427008
IRAS 22275+5546,2006722936774561664
IRAS 22310+5500,2006462008921478784
TYC 3986-2978-1,2005180047085326976
TYC 3986-3128-1,2005159499961900800
TYC 3986-2733-1,2005095522131711104
TYC 3982-1026-1,2004897128999485824
LF  4 +54  614,2004901939360968832
TYC 3982-1356-1,2004884553333438464
GSC 03986-00273,2004902557836322816
TYC 3986-1955-1,2005193516104140544
TYC 3986-1859-1,2005141907774783616
TYC 3986-2521-1,2005125208942063104
TYC 3986-789-1,2004911560081337856
TYC 3986-1875-1,2005150222818183168
TYC 3986-1591-1,2004936299094381184
LF  4 +54  732,2004863490812484736
TYC 3987-462-1,2005133523998941312
GSC 03983-00590,2004862116423146880
TYC 3987-1526-1,2004862597459484544
TYC 3987-1418-1,2005133730157574144
TYC 3983-329-1,2004849059722621696
TYC 3987-148-1,2006447921427666176
TYC 3987-2002-1,2004875551081319680
TYC 3987-1262-1,2006376796767232000
TYC 3987-858-1,2006372467440232576
TYC 3987-2155-1,2006376556249068672
GSC 03987-00016,2006451529200404992
TYC 3987-1568-1,2006438472499852672
TYC 3987-1620-1,2006361541043630592
TYC 3987-1750-1,2006380507619351808
TYC 3987-1362-1,2006386967250287744
TYC 3987-1758-1,2003349463299309952
GSC 03987-00202,2006370474575910272
LF  4 +54  923,2006382461816936832
TYC 3987-2100-1,2006382947161049216
TYC 3987-1774-1,2003368842192541824
TYC 3987-1726-1,2003369048352233216
TYC 3987-604-1,2006392670967564160
TYC 3987-2216-1,2003389045718976512
TYC 3987-2366-1,2006400779866110464
TYC 3987-1858-1,2003327644864872576
TYC 3986-1808-1,2005928951946697344
TYC 3986-2102-1,2006118652055900544
