SPT_ID,RA,DEC,XI,THETA_CORE,Y0,Y0_UERR,Y0_LERR,PS_FLAG,REDSHIFT,REDSHIFT_UNC,REDSHIFT_SOURCE,SPECZ,SPECZ_REF,M500C,M500C_UERR,M500C_LERR,LAMBDA,LAMBDA_UNC,FCONT,MCMF_MASK1,MCMF_MASK2,LOS,LAMBDA2,REDSHIFT2,REDSHIFT2_UNC,FCONT2,STRONG_LENS,STRONG_LENS_REF,DUSTY_FLAG
SPT-CL J2119.4-4904.9,319.87474129519956,-49.083288528022486,4.787297687120607,1.0,1.295451936750755E-5,4.028789324795689E-6,4.0921520774968755E-6,0,1.1,0.12813014543896595,MCMF,0.0,,1.2803925295592238,0.2772883211071564,0.24895075415748247,30.87501769104567,9.483197649600529,0.06,0.03303964757709251,0.0209366391184573,0,,,,,0.0,,0.0
SPT-CL J2036.2-5009.2,309.0523151583757,-50.15447332667551,4.786728189796822,0.125,1.4049474568141446E-5,4.626256728935773E-6,5.583619254776718E-6,2,,,,0.0,,,,,,,,0.05286343612334802,0.031955922865013774,0,,,,,0.0,,0.0
SPT-CL J0247.3-6117.0,41.84284519849349,-61.284719929291626,4.786495160420918,0.5,1.6571402371223862E-5,4.385067998210855E-6,5.8712147966272504E-6,0,0.71401,0.03666235898547253,MCMF,0.0,,1.492534072394247,0.28862997604284035,0.2855615084362382,23.917485754734315,7.11138183920758,0.07,0.0,0.022099447513812154,0,,,,,0.0,,0.0
SPT-CL J2107.4-5708.7,316.86608840889346,-57.14514568524494,4.786072255183374,0.75,1.7804381944202886E-5,5.196976946348586E-6,3.951585695688075E-6,0,0.72375,0.027906354563464058,MCMF,0.0,,1.48862440628479,0.30321175273901946,0.27437664408674034,47.281202998394285,8.559878501236408,0.0,0.019736842105263157,0.030353200883002206,0,,,,,0.0,,0.0
SPT-CL J2215.3-6618.8,333.84143430958386,-66.31379524223723,4.7859070969041335,0.125,1.3849381728105355E-5,3.959681721307681E-6,3.959681721307676E-6,0,,,,0.0,,,,,,,,0.0,0.0,0,,,,,0.0,,0.0
SPT-CL J0126.0-5324.3,21.524260457679087,-53.40568809014458,4.785355148893951,0.125,1.4622980967186947E-5,3.981743427256358E-6,4.575694605247038E-6,0,0.390062,0.013408981192875244,MCMF,0.0,,1.6743464518450255,0.3433040712973481,0.3016943637010243,49.47278879931707,7.125403787172786,0.01,0.0,0.012154696132596685,0,,,,,0.0,,0.0
SPT-CL J2136.0-4614.0,324.00925775403994,-46.23425527321509,4.784985602474645,0.25,1.5992457744986394E-5,4.0361003905215285E-6,4.607251592230776E-6,0,0.742022,0.02909504009575662,MCMF,0.0,,1.4699695627158464,0.302169599774625,0.2774528995339498,34.05701538598983,7.42297676901703,0.02,0.00881057268722467,0.022050716648291068,0,,,,,0.0,,0.0
SPT-CL J2318-5714,349.68949582686815,-57.251436593010844,4.784543595940933,1.25,1.53547280753638E-5,4.970757325781796E-6,5.935091718209677E-6,0,0.287415,0.010008077674638918,MCMF,0.0,,1.7433963147488694,0.3441751463139129,0.3170110396873187,26.86721297650647,6.030715597201735,0.11,0.0,0.0221606648199446,0,,,,,0.0,,0.0
SPT-CL J0242.2-6640.1,40.561613897012755,-66.66890970715993,4.784159534277138,2.0,1.9894337125011737E-5,7.791968470914704E-6,4.799292440847691E-6,0,0.3695,0.013178702950961234,MCMF,0.0,,1.6945612573641915,0.34328376029262575,0.3052613982598982,32.223555853939004,6.496267786358843,0.03,0.0,0.06058921623123958,0,,,,,0.0,,0.0
SPT-CL J2346.4-4804.5,356.6117340443348,-48.0750370089143,4.7837268727275815,1.25,1.3077555354198143E-5,4.0402154583073136E-6,4.071017213133919E-6,0,0.74875,0.040862102529346814,MCMF,0.0,,1.470103054582336,0.30326851206041616,0.27654975935632153,34.33962557789771,7.150672775901843,0.02,0.0,0.011615044247787611,0,,,,,0.0,,0.0
SPT-CL J2350.8-6545.3,357.71316554617806,-65.75568155249337,4.78351582716016,0.125,1.6747340715934454E-5,4.6049041251398665E-6,6.425887674029107E-6,0,1.2675000429153442,0.06802500039339066,MCMF,0.0,,1.2037977817128966,0.27127988757478794,0.23783339854660646,37.0656974993546,7.7211806574296045,0.1,0.0,0.0,0,,,,,0.0,,0.0
SPT-CL J2137.5-6744.3,324.3800603078857,-67.73862488842158,4.78339023503948,1.0,1.5263341836359714E-5,4.445457836342489E-6,6.200370510958838E-6,0,0.799827,0.036259488414716275,MCMF,0.0,,1.4448032763176193,0.30066874066712446,0.2699727830711236,35.6642487831297,8.247736226615446,0.02,0.024282560706401765,0.006070640176600441,0,,,,,0.0,,0.0
SPT-CL J2126.3-5621.8,321.57815000177084,-56.36335658085347,4.783368911720011,1.25,1.8857188979330166E-5,4.264620753435191E-6,4.144931736908737E-6,0,0.26452,0.007321866486766956,MCMF,0.0,,1.7577317284149674,0.3321503032108948,0.326130321624277,58.05426056879474,7.958075518803614,0.01,0.0,0.0,0,,,,,0.0,,0.0
SPT-CL J0011.9-4911.5,2.9980783359153684,-49.19211390115476,4.7833363751950255,5.0,2.1212336168295315E-5,4.467871252978091E-6,4.487907530395325E-6,0,,,,0.0,,,,,,,,0.0,0.011031439602868174,0,,,,,0.0,,0.0
SPT-CL J0238.2-6550.9,39.55200542737075,-65.84844840238452,4.783217762553954,0.75,1.2897380814600908E-5,4.235858813138812E-6,5.014290435072961E-6,0,0.56078,0.012566345852143602,MCMF,0.0,,1.571906243637257,0.3235005767032315,0.2860507292727832,56.27925399545484,8.851402897311868,0.01,0.0,0.00883489784649365,0,,,,,0.0,,0.0
